Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
San Diego;Puente de Vallecas;Apartment;Private room;6;1.5;1.0;4.0;25.0;;;2;12;1;45;19;46;72;345;14;73.0;8.0;8.0;9.0;9.0;8.0;8.0;strict;1.15
Quintana;Ciudad Lineal;House;Entire home/apt;7;2.0;3.0;4.0;70.0;;30.0;2;10;2;30;14;40;65;340;5;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.19
Sol;Centro;Apartment;Private room;2;3.0;1.0;1.0;42.0;;;2;15;1;1125;16;46;76;345;30;88.0;9.0;9.0;10.0;9.0;10.0;9.0;strict;0.54
Jerónimos;Retiro;Apartment;Entire home/apt;2;1.0;1.0;1.0;47.0;150.0;20.0;1;0;2;30;9;25;40;126;22;84.0;9.0;9.0;8.0;8.0;10.0;9.0;strict;3.86
Justicia;Centro;House;Private room;2;2.0;1.0;1.0;25.0;;;1;5;7;1125;6;34;64;65;0;;;;;;;;moderate;
Almagro;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;1.0;121.0;;;1;0;7;1125;7;37;67;157;0;;;;;;;;strict;
Justicia;Centro;Apartment;Entire home/apt;6;2.0;2.0;3.0;90.0;200.0;70.0;4;15;3;1125;13;17;25;284;80;91.0;9.0;10.0;9.0;9.0;10.0;9.0;strict;2.66
Chopera;Arganzuela;Apartment;Entire home/apt;5;1.0;1.0;2.0;55.0;100.0;25.0;2;15;2;31;8;33;58;149;2;80.0;8.0;10.0;10.0;10.0;9.0;10.0;strict;0.5
les Corts;Les Corts;Apartment;Entire home/apt;4;1.0;1.0;1.0;70.0;;;1;0;2;2;0;2;6;6;0;;;;;;;;strict;
Alexanderplatz;Mitte;Apartment;Private room;1;1.0;1.0;1.0;75.0;;30.0;1;0;1;1125;30;60;90;365;5;92.0;9.0;10.0;10.0;10.0;10.0;10.0;moderate;0.21
Valdeacederas;Tetuán;House;Private room;2;2.0;1.0;1.0;19.0;;5.0;1;10;2;1125;8;30;60;150;7;97.0;9.0;10.0;10.0;10.0;9.0;10.0;flexible;1.44
Almenara;Tetuán;House;Private room;1;2.0;1.0;1.0;30.0;;;1;0;1;1125;30;60;90;365;0;;;;;;;;flexible;
Palacio;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;42.0;;;1;0;4;1125;0;0;0;0;18;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.01
Universidad;Centro;Apartment;Private room;1;1.0;1.0;1.0;27.0;200.0;70.0;1;0;3;3;30;60;90;365;0;;;;;;;;strict;
Universidad;Centro;Apartment;Entire home/apt;4;1.0;0.0;3.0;55.0;;;1;0;1;1125;9;35;58;330;99;87.0;9.0;9.0;9.0;9.0;10.0;9.0;flexible;5.05
Sol;Centro;Bed & Breakfast;Shared room;2;1.0;1.0;1.0;35.0;;;1;94;1;1125;29;59;89;364;0;;;;;;;;flexible;
Ciudad Universitaria;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;2.0;3.0;130.0;;20.0;1;0;1;1125;25;55;85;360;4;90.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;0.21
Valdeacederas;Tetuán;Apartment;Entire home/apt;4;1.0;1.0;1.0;95.0;150.0;40.0;2;8;3;365;10;27;52;300;0;;;;;;;;strict;
Universidad;Centro;House;Private room;6;5.0;1.0;7.0;28.0;;;1;28;1;1125;16;46;76;351;77;85.0;8.0;9.0;9.0;9.0;10.0;9.0;flexible;1.39
Castellana;Salamanca;Apartment;Shared room;2;1.0;1.0;2.0;35.0;;;1;0;1;1125;10;40;70;324;24;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;3.41
Salvador;San Blas - Canillejas;House;Private room;2;1.0;1.0;1.0;25.0;100.0;25.0;2;0;2;1125;4;34;64;88;2;60.0;6.0;6.0;8.0;7.0;8.0;4.0;strict;0.12
